"","MSZoning","Neighborhood","HouseStyle","OverallQual","YearBuilt","ExterQual","Foundation","BsmtQual","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","TotRmsAbvGrd","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition"
"191","RL","Crawfor","2Story","8",1932,"Gd","CBlock","Gd",1549,1178,2727,2,10,"Unf",2,440,"TA","TA","Y","WD","Normal"
"192","RL","NAmes","2Story","7",1972,"TA","CBlock","TA",725,754,1479,1,7,"Fin",2,484,"TA","TA","Y","WD","Normal"
"193","RL","CollgCr","1Story","7",1999,"Gd","PConc","Gd",1431,0,1431,2,6,"Fin",2,666,"TA","TA","Y","WD","Normal"
"194","RM","Edwards","2Story","7",2004,"Gd","PConc","Gd",970,739,1709,2,7,"Unf",2,380,"TA","TA","Y","WD","Normal"
"195","RL","CollgCr","1Story","5",1972,"TA","CBlock","TA",864,0,864,1,5,"Unf",1,352,"TA","TA","Y","WD","Normal"
"196","RL","NPkVill","2Story","6",1976,"TA","CBlock","Gd",855,601,1456,2,7,"Unf",2,440,"TA","TA","Y","WD","Normal"
"197","RL","Somerst","1Story","7",2007,"Ex","PConc","Ex",1726,0,1726,2,8,"Fin",3,786,"TA","TA","Y","New","Partial"
"198","RL","NAmes","2Story","8",1918,"Gd","PConc","TA",1360,1360,3112,2,8,"Unf",2,795,"TA","TA","Y","WD","Abnorml"
"199","RM","OldTown","2.5Fin","6",1912,"TA","CBlock","TA",929,929,2229,1,8,"None",0,0,"None","None","Y","WD","Abnorml"
"200","RL","NridgHt","1Story","8",2004,"Gd","PConc","Ex",1713,0,1713,2,7,"Fin",3,856,"TA","TA","Y","WD","Normal"
"201","RM","Edwards","1Story","4",2003,"TA","PConc","Gd",1121,0,1121,2,5,"RFn",2,440,"TA","TA","Y","WD","Normal"
"202","RL","Mitchel","1Story","6",1977,"TA","CBlock","TA",1279,0,1279,2,6,"Unf",2,473,"TA","TA","Y","WD","Normal"
"203","RL","OldTown","1.5Fin","6",1924,"TA","BrkTil","Fa",865,445,1310,2,6,"Unf",1,398,"TA","TA","Y","COD","Normal"
"204","RM","CollgCr","1Story","6",2004,"Gd","PConc","Gd",848,0,848,1,3,"RFn",2,420,"TA","TA","Y","WD","Normal"
"205","RM","OldTown","1.5Fin","5",1947,"TA","CBlock","TA",720,564,1284,1,5,"Unf",1,240,"TA","TA","Y","WD","Normal"
"206","RL","Gilbert","1Story","7",1990,"TA","PConc","Gd",1442,0,1442,2,5,"RFn",2,500,"TA","TA","Y","WD","Normal"
"207","RL","Sawyer","1Story","5",1962,"TA","CBlock","TA",1696,0,1696,1,8,"RFn",1,349,"TA","TA","Y","WD","Normal"
"208","RL","NAmes","1Story","4",1960,"TA","PConc","TA",1100,0,1100,1,6,"RFn",1,312,"TA","TA","Y","WD","Normal"
"209","RL","SawyerW","2Story","7",1988,"Gd","CBlock","Gd",1180,882,2062,2,7,"Fin",2,454,"TA","TA","Y","WD","Normal"
"210","RL","NAmes","1Story","6",1964,"TA","CBlock","Gd",1092,0,1092,1,6,"RFn",2,504,"TA","Gd","Y","WD","Normal"
"211","RL","Edwards","1Story","5",1925,"TA","CBlock","TA",864,0,864,1,5,"None",0,0,"None","None","Y","WD","Normal"
"212","RL","Edwards","1Story","6",2009,"TA","PConc","Gd",1212,0,1212,2,6,"RFn",2,460,"TA","TA","Y","WD","Normal"
"213","FV","Somerst","2Story","7",2009,"TA","PConc","Gd",932,920,1852,2,7,"RFn",2,644,"TA","TA","Y","New","Partial"
"214","RL","CollgCr","1Story","5",1995,"TA","PConc","Gd",990,0,990,1,5,"Unf",2,576,"TA","TA","Y","WD","Normal"
"215","RL","CollgCr","2Story","6",1977,"TA","CBlock","Gd",689,703,1392,1,6,"Fin",1,299,"TA","TA","Y","WD","Normal"
"216","RL","NAmes","1Story","5",1957,"TA","CBlock","TA",1236,0,1236,1,6,"Unf",1,447,"TA","TA","Y","WD","Normal"
"217","RL","CollgCr","1Story","7",2004,"Gd","PConc","Gd",1436,0,1436,2,8,"Unf",2,484,"TA","TA","Y","WD","Normal"
"218","RM","OldTown","2Story","4",1925,"TA","CBlock","TA",810,518,1328,1,8,"Unf",1,210,"TA","TA","Y","WD","Family"
"219","RL","Crawfor","1.5Fin","7",1939,"Gd","CBlock","TA",1137,817,1954,1,8,"Unf",2,431,"TA","TA","Y","WD","Normal"
"220","RL","Blmngtn","1Story","7",2005,"Gd","PConc","Gd",1248,0,1248,2,5,"Fin",2,438,"TA","TA","Y","New","Partial"
"221","RL","CollgCr","1Story","7",2006,"Gd","PConc","Gd",1498,0,1498,2,5,"RFn",2,675,"TA","TA","Y","New","Partial"
"222","RL","Gilbert","2Story","6",2002,"Gd","PConc","Gd",1010,1257,2267,2,8,"RFn",2,390,"TA","TA","Y","ConLI","Normal"
"223","RL","NWAmes","2Story","6",1975,"TA","CBlock","Gd",811,741,1552,2,6,"RFn",2,434,"TA","TA","Y","WD","Normal"
"224","RL","NAmes","1Story","4",1971,"TA","CBlock","TA",864,0,864,1,4,"Unf",2,576,"TA","TA","Y","WD","Abnorml"
"225","RL","NridgHt","1Story","10",2003,"Ex","PConc","Ex",2392,0,2392,2,8,"Fin",3,968,"TA","TA","Y","WD","Normal"
"226","RM","BrDale","2Story","5",1971,"TA","CBlock","TA",630,672,1302,2,6,"Unf",1,280,"TA","TA","Y","COD","Abnorml"
"227","RL","NoRidge","2Story","7",1995,"Gd","PConc","Gd",1214,1306,2520,2,9,"RFn",3,721,"TA","TA","Y","WD","Abnorml"
"228","RM","BrDale","2Story","6",1970,"TA","CBlock","TA",483,504,987,1,5,"Unf",1,280,"TA","TA","Y","WD","Normal"
"229","RL","Sawyer","1Story","5",1967,"TA","CBlock","TA",912,0,912,1,5,"Unf",1,336,"TA","TA","Y","WD","Normal"
"230","RL","Blmngtn","1Story","7",2005,"Gd","PConc","Gd",1555,0,1555,2,7,"Fin",2,430,"TA","TA","Y","WD","Normal"
"231","RL","NAmes","1Story","6",1959,"TA","CBlock","TA",1194,0,1194,1,6,"RFn",1,312,"TA","TA","Y","WD","Normal"
"232","RL","NoRidge","2Story","8",1995,"Gd","PConc","Gd",1490,1304,2794,2,9,"Fin",3,810,"TA","TA","Y","WD","Normal"
"233","RM","BrDale","2Story","6",1972,"TA","CBlock","TA",483,504,987,1,5,"Unf",1,288,"TA","TA","Y","WD","Normal"
"234","RL","CollgCr","1Story","5",1976,"TA","CBlock","TA",894,0,894,1,5,"Unf",1,308,"TA","TA","Y","WD","Normal"
"235","RL","Gilbert","2Story","6",2002,"Gd","PConc","Gd",860,1100,1960,2,8,"Fin",2,440,"TA","TA","Y","WD","Normal"
"236","RM","BrDale","2Story","6",1971,"TA","CBlock","TA",483,504,987,1,5,"Unf",1,264,"TA","TA","Y","WD","Normal"
"237","RL","CollgCr","1Story","7",2004,"Gd","PConc","Gd",1414,0,1414,2,6,"RFn",2,494,"TA","TA","Y","WD","Normal"
"238","RL","SawyerW","2Story","7",1993,"Gd","PConc","Gd",1014,730,1744,2,7,"RFn",2,457,"TA","TA","Y","WD","Normal"
"239","RL","NridgHt","1Story","8",2007,"Ex","PConc","Ex",1694,0,1694,2,7,"Fin",3,818,"TA","TA","Y","New","Partial"
"240","RL","Edwards","1.5Fin","6",1945,"TA","CBlock","TA",798,689,1487,1,7,"Unf",1,220,"TA","TA","Y","WD","Normal"
"241","FV","Somerst","1Story","8",2008,"Gd","PConc","Gd",1566,0,1566,2,7,"RFn",2,750,"TA","TA","Y","WD","Normal"
"242","RM","OldTown","1Story","5",1945,"TA","CBlock","TA",866,0,866,1,4,"None",0,0,"None","None","Y","WD","Normal"
"243","RM","OldTown","1.5Fin","5",1900,"TA","BrkTil","TA",889,551,1440,1,6,"Unf",1,352,"Fa","TA","Y","WD","Normal"
"244","RL","SawyerW","2Story","6",1980,"TA","CBlock","Gd",626,591,1217,1,6,"RFn",1,288,"TA","TA","Y","WD","Normal"
"245","RL","SawyerW","2Story","7",1994,"Gd","PConc","Gd",1222,888,2110,2,8,"RFn",2,463,"TA","TA","Y","WD","Normal"
"246","RL","NWAmes","1Story","7",1988,"TA","CBlock","Gd",1872,0,1872,2,6,"Fin",2,604,"TA","TA","Y","WD","Normal"
"247","RM","OldTown","2Story","6",1910,"TA","Stone","Fa",908,1020,1928,2,9,"Unf",1,440,"Po","Po","Y","WD","Normal"
"248","RL","NAmes","1Story","6",1954,"TA","CBlock","TA",1375,0,1375,1,5,"Unf",2,451,"TA","TA","Y","WD","Normal"
"249","RL","CollgCr","2Story","7",2003,"Gd","PConc","Gd",840,828,1668,2,8,"RFn",2,500,"TA","TA","Y","WD","Normal"
"250","RL","ClearCr","1.5Fin","6",1958,"Gd","CBlock","Gd",1444,700,2144,2,7,"Fin",2,389,"TA","TA","Y","WD","Normal"
"251","RL","BrkSide","1Story","3",1940,"TA","CBlock","TA",1306,0,1306,1,6,"None",0,0,"None","None","Y","WD","Normal"
"252","RM","Crawfor","1Story","8",2006,"Gd","PConc","Gd",1625,0,1625,2,5,"Fin",2,538,"TA","TA","Y","WD","Family"
"253","RL","SawyerW","2Story","6",2004,"Gd","PConc","Gd",798,842,1640,2,6,"RFn",2,520,"TA","TA","Y","WD","Normal"
"254","RL","NAmes","SLvl","6",1964,"TA","CBlock","Gd",1302,0,1302,2,7,"RFn",1,309,"TA","TA","Y","CWD","Normal"
"255","RL","NAmes","1Story","5",1957,"TA","CBlock","TA",1314,0,1314,1,5,"RFn",1,294,"TA","TA","Y","WD","Normal"
"256","RL","Gilbert","2Story","7",1999,"Gd","PConc","Gd",1005,1286,2291,2,8,"Fin",2,429,"TA","TA","Y","WD","Normal"
"257","FV","Somerst","2Story","6",2003,"Gd","PConc","Gd",864,864,1728,2,7,"RFn",2,673,"TA","TA","Y","WD","Normal"
"258","RL","CollgCr","1Story","7",2006,"Gd","PConc","Gd",1604,0,1604,2,8,"RFn",2,660,"TA","TA","Y","WD","Abnorml"
"259","RL","CollgCr","2Story","7",2001,"Gd","PConc","Gd",963,829,1792,2,7,"RFn",2,564,"TA","TA","Y","WD","Normal"
"260","RM","OldTown","1Story","5",1956,"TA","PConc","None",882,0,882,1,4,"Unf",1,308,"TA","TA","Y","WD","Normal"
"261","RL","NAmes","SLvl","6",1962,"TA","CBlock","TA",1382,0,1382,1,6,"Unf",2,884,"TA","TA","Y","WD","Normal"
"262","RL","CollgCr","2Story","8",2007,"Gd","PConc","Ex",1482,1092,2574,2,10,"Fin",3,868,"TA","TA","Y","New","Partial"
"263","RL","Sawyer","SLvl","6",1977,"TA","CBlock","Gd",1212,0,1212,1,6,"Unf",2,492,"TA","TA","Y","WD","Normal"
"264","RM","OldTown","1.5Fin","5",1929,"TA","BrkTil","TA",926,0,1316,1,6,"Unf",2,484,"TA","TA","Y","WD","Normal"
"265","RM","OldTown","1Story","5",1925,"TA","BrkTil","Fa",764,0,764,1,4,"Unf",2,504,"TA","TA","None","WD","Normal"
"266","RL","NWAmes","1Story","6",1981,"TA","CBlock","Gd",1422,0,1422,2,7,"Fin",2,576,"TA","TA","Y","WD","Normal"
"267","RL","Gilbert","2Story","6",1997,"TA","PConc","Gd",802,709,1511,2,8,"Fin",2,413,"TA","TA","Y","WD","Normal"
"268","RL","SWISU","2.5Fin","5",1939,"TA","PConc","TA",1052,720,2192,2,8,"Unf",1,240,"TA","TA","Y","WD","Normal"
"269","RM","IDOTRR","1Story","5",1940,"TA","CBlock","TA",778,0,778,1,4,"Fin",1,924,"Ex","Ex","Y","WD","Normal"
"270","RL","Edwards","1Story","6",1976,"TA","CBlock","TA",1113,0,1113,1,6,"RFn",1,504,"TA","Gd","Y","WD","Normal"
"271","FV","Somerst","2Story","8",2006,"Gd","PConc","Gd",1095,844,1939,2,8,"RFn",3,1053,"TA","TA","Y","New","Partial"
"272","RL","ClearCr","1Story","7",1954,"TA","CBlock","Gd",1363,0,1363,1,5,"Unf",2,439,"TA","TA","Y","WD","Normal"
"273","RL","NoRidge","2Story","8",1999,"Gd","PConc","Gd",1164,1106,2270,2,9,"Fin",3,671,"TA","TA","Y","WD","Normal"
"274","RL","NAmes","1Story","6",1958,"TA","CBlock","TA",1632,0,1632,2,6,"RFn",1,338,"TA","TA","Y","WD","Normal"
"275","RL","Mitchel","1Story","5",1982,"TA","CBlock","TA",816,0,816,1,5,"Unf",1,264,"TA","TA","Y","WD","Normal"
"276","RL","BrkSide","1.5Fin","7",1925,"Gd","BrkTil","TA",952,596,1548,2,5,"Unf",2,672,"TA","TA","Y","WD","Normal"
"277","RL","Mitchel","1Story","7",2003,"Gd","PConc","Ex",1560,0,1560,2,7,"Fin",2,573,"TA","TA","Y","WD","Normal"
"278","RL","Gilbert","1Story","4",1951,"TA","CBlock","TA",864,0,864,1,4,"Unf",2,400,"TA","TA","Y","WD","Normal"
"279","RL","NridgHt","1Story","9",2006,"Ex","PConc","Ex",2121,0,2121,2,8,"Fin",3,732,"TA","TA","Y","New","Partial"
"280","RL","ClearCr","2Story","7",1977,"TA","CBlock","Gd",1156,866,2022,2,8,"Fin",2,505,"TA","TA","Y","WD","Normal"
"281","RL","SawyerW","2Story","7",1989,"Gd","CBlock","Gd",1175,807,1982,2,7,"Fin",2,575,"TA","TA","Y","WD","Normal"
"282","FV","Somerst","1Story","6",2006,"Gd","PConc","Gd",1262,0,1262,2,5,"Fin",2,572,"TA","TA","Y","New","Partial"
"283","RL","NridgHt","1Story","7",2007,"Gd","PConc","Gd",1314,0,1314,2,6,"RFn",2,626,"TA","TA","Y","ConLw","Normal"
"284","RL","Somerst","1Story","8",2008,"Gd","PConc","Gd",1468,0,1468,2,6,"Fin",3,898,"TA","TA","Y","New","Partial"
"285","RL","SawyerW","1Story","6",1992,"Gd","PConc","Gd",1575,0,1575,2,5,"RFn",2,529,"TA","TA","Y","WD","Normal"
"286","FV","Somerst","2Story","7",2006,"Gd","PConc","Gd",625,625,1250,2,5,"RFn",2,528,"TA","TA","Y","New","Partial"
"287","RL","NAmes","1.5Fin","6",1962,"TA","CBlock","TA",1085,649,1734,1,7,"RFn",2,440,"TA","TA","Y","WD","Normal"
"288","RL","NAmes","1Story","4",1971,"TA","CBlock","TA",858,0,858,1,5,"None",0,0,"None","None","Y","WD","Normal"
"289","RL","Sawyer","1Story","5",1967,"TA","CBlock","TA",900,0,900,1,5,"Unf",1,280,"TA","TA","Y","WD","Normal"
"290","RL","BrkSide","2Story","6",1915,"TA","BrkTil","TA",698,698,1396,1,7,"Unf",1,384,"TA","TA","Y","WD","Normal"
"291","RL","CollgCr","2Story","8",2006,"Gd","PConc","Gd",1079,840,1919,2,8,"RFn",2,685,"Gd","TA","Y","New","Partial"
"292","RL","SWISU","2Story","5",1912,"TA","PConc","TA",936,780,1716,2,9,"None",0,0,"None","None","None","WD","Normal"
"293","RL","Edwards","1.5Fin","5",1949,"TA","CBlock","TA",1148,568,1716,1,8,"Unf",1,281,"TA","TA","Y","WD","Normal"
"294","RL","NWAmes","2Story","7",1977,"TA","CBlock","TA",1468,795,2263,2,9,"Fin",2,539,"TA","TA","Y","WD","Normal"
"295","RL","NAmes","1Story","6",1953,"TA","CBlock","TA",1644,0,1644,1,7,"Fin",2,418,"TA","TA","Y","WD","Normal"
"296","RL","Mitchel","SLvl","6",1984,"TA","CBlock","TA",1003,0,1003,1,6,"Unf",2,588,"TA","TA","Y","WD","Normal"
"297","RM","IDOTRR","1.5Fin","5",1950,"TA","CBlock","TA",910,648,1558,1,6,"Unf",1,282,"TA","TA","Y","WD","Normal"
"298","FV","Somerst","2Story","7",1997,"Gd","PConc","Gd",975,975,1950,2,7,"RFn",2,576,"TA","TA","Y","WD","Normal"
"299","RL","NWAmes","2Story","6",1968,"Gd","CBlock","TA",1041,702,1743,1,7,"Unf",2,539,"TA","TA","Y","WD","Normal"
"300","RL","Crawfor","1Story","6",1950,"TA","CBlock","TA",1152,0,1152,1,6,"Unf",1,300,"TA","TA","Y","WD","Family"
"301","RL","Crawfor","1Story","5",1953,"TA","CBlock","TA",1336,0,1336,1,5,"Unf",1,375,"TA","TA","Y","WD","Normal"
"302","RL","CollgCr","2Story","8",1998,"Gd","PConc","Gd",1210,1242,2452,2,9,"Fin",2,683,"TA","TA","Y","WD","Normal"
"303","RL","CollgCr","1Story","7",2001,"Gd","PConc","Gd",1541,0,1541,2,6,"RFn",3,843,"TA","TA","Y","WD","Normal"
"304","RL","CollgCr","1Story","5",1972,"TA","PConc","TA",894,0,894,1,5,"Unf",2,552,"TA","TA","Y","WD","Abnorml"
"305","RM","OldTown","2.5Fin","7",1880,"TA","BrkTil","TA",1675,1818,3493,3,10,"Unf",3,870,"TA","TA","Y","WD","Normal"
"306","RL","CollgCr","1Story","8",2004,"Gd","PConc","Gd",2000,0,2000,2,8,"Fin",3,888,"TA","TA","Y","WD","Normal"
"307","RL","SawyerW","2Story","7",1990,"Gd","CBlock","Gd",1122,1121,2243,2,8,"RFn",3,746,"TA","TA","Y","WD","Normal"
"308","RM","IDOTRR","1.5Fin","6",1920,"TA","CBlock","TA",1035,371,1406,1,6,"None",0,0,"None","None","None","WD","Normal"
"309","RL","Edwards","1Story","4",1940,"TA","CBlock","TA",861,0,861,1,4,"Unf",2,539,"TA","TA","Y","WD","Normal"
"310","RL","NridgHt","1Story","9",2003,"Gd","PConc","Ex",1944,0,1944,2,8,"Fin",3,708,"TA","TA","Y","WD","Normal"
"311","RL","Gilbert","2Story","6",1993,"TA","PConc","Gd",697,804,1501,2,6,"Fin",2,420,"TA","TA","Y","WD","Normal"
"312","RL","NAmes","1Story","6",1948,"TA","CBlock","TA",972,0,972,1,5,"Unf",1,240,"TA","TA","Y","WD","Normal"
"313","RM","OldTown","1.5Fin","5",1939,"TA","CBlock","Gd",793,325,1118,1,5,"Unf",2,410,"TA","TA","Y","WD","Normal"
"314","RL","Timber","1Story","7",1965,"TA","CBlock","Gd",2036,0,2036,2,8,"RFn",2,513,"TA","TA","Y","WD","Normal"
"315","RM","OldTown","2Story","7",1925,"TA","BrkTil","TA",832,809,1641,1,6,"Unf",2,546,"Fa","TA","Y","WD","Normal"
"316","RL","Gilbert","2Story","7",2004,"Gd","PConc","Gd",716,716,1432,2,6,"Fin",2,432,"TA","TA","Y","WD","Normal"
"317","RL","NWAmes","2Story","7",1980,"Gd","CBlock","Gd",1153,1200,2353,2,10,"RFn",2,484,"TA","TA","Y","WD","Normal"
"318","FV","Somerst","2Story","8",2006,"Gd","PConc","Gd",1088,871,1959,2,8,"RFn",3,1025,"TA","TA","Y","WD","Normal"
"319","RL","NoRidge","2Story","7",1993,"Gd","PConc","Gd",1372,1274,2646,2,9,"RFn",3,656,"TA","TA","Y","WD","Normal"
"320","RL","NWAmes","SLvl","7",1980,"TA","CBlock","Gd",1472,0,1472,2,6,"Unf",2,588,"TA","TA","Y","WD","Normal"
"321","RL","NridgHt","2Story","9",2006,"TA","PConc","Ex",1249,1347,2596,3,9,"RFn",3,840,"TA","TA","Y","New","Partial"
"322","RL","NridgHt","2Story","8",2004,"Gd","PConc","Ex",1136,1332,2468,2,10,"Fin",3,872,"TA","TA","Y","WD","Normal"
"323","RL","SawyerW","2Story","7",1986,"Gd","CBlock","TA",1553,1177,2730,2,8,"Fin",2,576,"TA","TA","Y","WD","Normal"
"324","RM","OldTown","1Story","3",1955,"TA","CBlock","TA",1163,0,1163,1,6,"Unf",1,220,"Fa","TA","Y","WD","Normal"
"325","RL","NAmes","SLvl","7",1967,"Gd","CBlock","Gd",1898,1080,2978,2,11,"Fin",2,564,"TA","TA","Y","WD","Normal"
"326","RM","IDOTRR","1.5Unf","5",1941,"TA","CBlock","TA",803,0,803,1,5,"Unf",2,360,"TA","TA","Y","WD","Normal"
"327","RL","Veenker","1Story","8",1993,"Gd","PConc","Gd",1719,0,1719,1,6,"Fin",2,473,"TA","TA","Y","Con","Normal"
"328","RL","NAmes","1Story","6",1960,"TA","CBlock","TA",1383,0,1383,1,7,"RFn",1,292,"TA","TA","Y","WD","Normal"
"329","RL","BrkSide","2.5Unf","6",1916,"TA","BrkTil","TA",1445,689,2134,2,10,"Unf",2,441,"TA","TA","Y","WD","Normal"
"330","RM","IDOTRR","2Story","5",1920,"TA","PConc","TA",596,596,1192,1,6,"Unf",1,189,"Fa","Fa","None","WD","Normal"
"331","RL","NAmes","1Story","5",1964,"TA","CBlock","TA",1728,0,1728,2,10,"Unf",1,352,"TA","TA","Y","WD","Normal"
"332","RL","NAmes","1Story","5",1958,"TA","CBlock","TA",1056,0,1056,1,6,"RFn",1,308,"TA","TA","Y","WD","Normal"
"333","RL","NridgHt","1Story","8",2003,"Gd","PConc","Gd",1629,0,1629,2,7,"RFn",3,880,"TA","TA","Y","WD","Normal"
"334","RM","NridgHt","1Story","7",2004,"Gd","PConc","Gd",1358,0,1358,2,6,"RFn",2,484,"TA","TA","Y","WD","Normal"
"335","RL","Gilbert","2Story","6",1998,"TA","PConc","Gd",943,695,1638,2,7,"Fin",2,472,"TA","TA","Y","WD","Normal"
"336","RL","Timber","1.5Fin","5",1965,"TA","CBlock","TA",1619,167,1786,2,7,"Fin",2,529,"TA","TA","Y","WD","Normal"
"337","RL","StoneBr","1Story","9",2005,"Gd","PConc","Ex",1922,0,1922,2,8,"Fin",3,676,"TA","TA","Y","WD","Normal"
"338","RL","CollgCr","1Story","7",2002,"Gd","PConc","Gd",1536,0,1536,2,7,"RFn",2,532,"TA","TA","Y","WD","Normal"
"339","RL","NWAmes","1Story","7",1984,"Gd","CBlock","Gd",1621,0,1621,2,8,"RFn",2,440,"TA","TA","Y","WD","Normal"
"340","RL","NAmes","1Story","6",1958,"TA","CBlock","TA",1215,0,1215,1,6,"Unf",1,297,"TA","TA","Y","WD","Normal"
"341","RL","Timber","2Story","8",2002,"Gd","PConc","Gd",993,915,1908,2,9,"Fin",2,431,"TA","TA","Y","WD","Normal"
"342","RH","SawyerW","1Story","4",1950,"Fa","CBlock","TA",841,0,841,1,4,"Unf",1,294,"TA","TA","None","WD","Normal"
"343","RL","NAmes","1Story","3",1949,"TA","Slab","None",1040,0,1040,2,6,"Unf",2,400,"TA","TA","Y","WD","Normal"
"344","RL","NridgHt","1Story","9",2005,"Ex","PConc","Ex",1684,0,1684,2,6,"RFn",2,564,"TA","TA","Y","WD","Normal"
"345","RM","MeadowV","2Story","5",1976,"TA","CBlock","Gd",536,576,1112,1,4,"Unf",1,336,"TA","TA","Y","WD","Normal"
"346","RL","BrkSide","1.5Fin","6",1939,"TA","BrkTil","TA",972,605,1577,1,6,"Unf",1,312,"TA","TA","Y","WD","Normal"
"347","RL","NAmes","1Story","6",1960,"TA","CBlock","TA",958,0,958,1,5,"RFn",1,301,"TA","TA","Y","WD","Normal"
"348","RL","NAmes","1Story","6",1960,"TA","CBlock","TA",1478,0,1478,2,6,"Unf",2,498,"TA","TA","Y","WD","Normal"
"349","RL","NridgHt","2Story","7",2003,"Gd","PConc","Gd",764,862,1626,2,6,"RFn",2,474,"TA","TA","Y","WD","Normal"
"350","RL","NridgHt","2Story","9",2005,"Ex","PConc","Ex",1848,880,2728,2,10,"Fin",3,706,"TA","TA","Y","New","Partial"
"351","RL","NridgHt","1Story","9",2007,"Ex","PConc","Ex",1869,0,1869,2,6,"RFn",2,617,"TA","TA","Y","New","Partial"
"352","RL","ClearCr","1Story","7",1986,"TA","PConc","Gd",1453,0,1453,1,6,"RFn",2,445,"TA","TA","Y","WD","Abnorml"
"353","RL","Edwards","1.5Fin","5",1941,"TA","CBlock","TA",616,495,1111,1,5,"Unf",1,200,"TA","Fa","Y","ConLw","Normal"
"354","RM","OldTown","1Story","6",1928,"TA","BrkTil","TA",720,0,720,1,5,"Unf",2,484,"TA","TA","Y","WD","Normal"
"355","RL","SWISU","1.5Fin","6",1940,"TA","CBlock","TA",1192,403,1595,1,6,"Unf",1,240,"TA","TA","Y","WD","Normal"
"356","RL","CollgCr","1Story","6",1995,"Gd","PConc","Gd",1200,0,1200,2,6,"RFn",2,521,"TA","TA","Y","WD","Normal"
"357","RL","Gilbert","1Story","6",1992,"TA","PConc","Gd",1167,0,1167,2,6,"RFn",2,400,"TA","TA","Y","WD","Normal"
"358","RM","MeadowV","1Story","5",1976,"TA","PConc","Gd",1142,0,1142,1,6,"Fin",2,528,"TA","TA","Y","WD","Normal"
"359","RL","ClearCr","SLvl","5",1958,"TA","CBlock","TA",1352,0,1352,1,6,"Unf",1,288,"TA","TA","Y","WD","Abnorml"
"360","RL","NoRidge","2Story","8",1998,"Gd","PConc","Gd",1086,838,1924,2,7,"RFn",2,592,"TA","TA","Y","WD","Normal"
"361","RL","Mitchel","SFoyer","6",1978,"TA","CBlock","Gd",912,0,912,1,5,"RFn",2,470,"TA","TA","Y","WD","Normal"
"362","RL","BrkSide","1.5Fin","5",1940,"TA","CBlock","TA",988,517,1505,1,8,"Unf",1,240,"TA","TA","None","WD","Normal"
"363","RL","Edwards","SFoyer","7",2003,"Gd","Slab","None",495,1427,1922,3,7,"RFn",2,672,"TA","TA","Y","ConLD","Normal"
"364","RM","BrDale","2Story","6",1972,"TA","CBlock","TA",483,504,987,1,5,"Unf",1,264,"TA","TA","Y","WD","Normal"
"365","RL","NWAmes","2Story","6",1976,"TA","PConc","Gd",790,784,1574,2,6,"Fin",2,566,"TA","TA","Y","WD","Normal"
"366","RM","IDOTRR","2Story","5",1920,"TA","CBlock","TA",672,672,1344,1,6,"Unf",1,468,"TA","Fa","Y","WD","Normal"
"367","RL","NAmes","1Story","6",1963,"TA","CBlock","Gd",1394,0,1394,1,6,"RFn",2,514,"TA","TA","Y","WD","Normal"
"368","RL","NAmes","SLvl","6",1962,"TA","CBlock","Gd",1431,0,1431,1,6,"RFn",1,296,"TA","TA","Y","WD","Normal"
"369","RL","NAmes","1Story","5",1954,"TA","PConc","TA",1268,0,1268,1,7,"Fin",1,244,"TA","TA","Y","WD","Normal"
"370","RL","NAmes","1Story","5",1959,"TA","CBlock","TA",1287,0,1287,1,7,"Fin",2,576,"TA","TA","Y","WD","Normal"
"371","RL","Gilbert","2Story","6",2000,"TA","PConc","Gd",953,711,1664,2,7,"RFn",2,460,"TA","TA","Y","WD","Normal"
"372","RL","ClearCr","1.5Fin","4",1959,"TA","CBlock","None",1120,468,1588,2,7,"Fin",2,680,"TA","TA","None","WD","Normal"
"373","RL","SawyerW","1Story","6",1984,"TA","CBlock","Gd",752,0,752,1,4,"Unf",1,264,"TA","TA","Y","WD","Normal"
"374","RL","NAmes","1Story","5",1953,"TA","PConc","TA",1319,0,1319,1,5,"Unf",1,270,"TA","TA","Y","WD","Normal"
"375","RL","CollgCr","2Story","7",2003,"Gd","PConc","Gd",847,1081,1928,2,8,"Fin",2,434,"TA","TA","Y","WD","Normal"
"376","RL","Edwards","1Story","1",1922,"Fa","BrkTil","Fa",904,0,904,0,4,"None",0,0,"None","None","Y","WD","Normal"
"377","RL","CollgCr","SFoyer","5",1996,"Gd","PConc","Gd",914,0,914,1,5,"Unf",2,576,"TA","TA","Y","WD","Normal"
"378","FV","Somerst","2Story","8",2004,"Gd","PConc","Gd",1580,886,2466,3,8,"RFn",2,610,"TA","TA","Y","WD","Normal"
"379","RL","StoneBr","1Story","9",2010,"Gd","PConc","Ex",1856,0,1856,1,8,"Fin",3,834,"TA","TA","Y","New","Partial"
"380","RL","Gilbert","2Story","6",2000,"TA","PConc","Gd",1007,793,1800,2,7,"Fin",2,463,"TA","TA","Y","WD","Normal"
"381","RL","SWISU","1.5Fin","5",1924,"TA","BrkTil","TA",1026,665,1691,2,6,"Unf",1,308,"TA","TA","Y","WD","Normal"
"382","FV","Somerst","1Story","7",2006,"Gd","PConc","Gd",1301,0,1301,2,5,"RFn",2,572,"TA","TA","Y","New","Partial"
